establishment.name,address,city,time.in.h,time.in.m,time.in.ampm,time.out.h,time.out.m,time.out.ampm,inspection.date,cfsm,purpose.of.inspection,risk.type,permit.number,current.score,current.grade,template_type,date_time_in,date_time_out,inspection_duration
 CHECKERS #3098, 4063 GLENWOOD ROAD, DECATUR,12.0,25.0,PM,3.0,10.0,PM,2016-12-22,30 Day deadline,Routine,2,886009,74.0,C,Food_2015,2016-12-22T12:25:00Z,2016-12-22T15:10:00Z,2.75
 CHECKERS #3098, 4063 GLENWOOD ROAD, DECATUR,12.0,10.0,PM,1.0,40.0,PM,2016-06-28,Anica L. Carter 9/17/17,Followup,2,886009,85.0,B,Food_2015,2016-06-28T12:10:00Z,2016-06-28T13:40:00Z,1.5
 CHECKERS #3098, 4063 GLENWOOD ROAD, DECATUR,3.0,5.0,PM,5.0,0.0,PM,2016-05-24,Calvin Crockett exp 7/8/20,Routine,2,886009,74.0,C,Food_2015,2016-05-24T15:05:00Z,2016-05-24T17:00:00Z,1.9166666666666667
 CHECKERS #3254," 420 MORELAND AVENUE, SE", ATLANTA,12.0,35.0,PM,3.0,5.0,PM,2016-10-06,Ashley Johnson,Routine,2,885911,92.0,A,Food_2015,2016-10-06T12:35:00Z,2016-10-06T15:05:00Z,2.5
 CHECKERS DRIVE IN RESTAURANT, 2775 PANOLA ROAD, LITHONIA,2.0,5.0,PM,3.0,10.0,PM,2016-12-21,Rishad Ajani 11/2020,Routine,2,882897,83.0,B,Food_2015,2016-12-21T14:05:00Z,2016-12-21T15:10:00Z,1.0833333333333333
 CHECKERS DRIVE IN RESTAURANT, 2775 PANOLA ROAD, LITHONIA,11.0,50.0,AM,1.0,5.0,PM,2016-04-12,Rishad Ali,Routine,2,882897,85.0,B,Food_2015,2016-04-12T11:50:00Z,2016-04-12T13:05:00Z,1.25
 CHECKERS DRIVE-IN RESTAURANT, 2594 BOULDERCREST ROAD, ATLANTA,2.0,45.0,PM,4.0,25.0,PM,2016-07-06,Not in Compliance,Routine,2,884384,87.0,B,Food_2015,2016-07-06T14:45:00Z,2016-07-06T16:25:00Z,1.6666666666666667
 CHECKERS DRIVE-IN RESTAURANT, 2594 BOULDERCREST ROAD, ATLANTA,2.0,30.0,PM,5.0,15.0,PM,2015-12-09,Tontalane Williams exp 12/12/18,Routine,2,884384,81.0,B,Food_2015,2015-12-09T14:30:00Z,2015-12-09T17:15:00Z,2.75
 CHECKERS DRIVE-IN RESTAURANT  #850, 3519 MEMORIAL DRIVE STORE # 3041, DECATUR,2.0,25.0,PM,4.0,10.0,PM,2016-07-18,Rishad Ajani 11/2020,Routine,2,449573,89.0,B,Food_2015,2016-07-18T14:25:00Z,2016-07-18T16:10:00Z,1.75
 CHECKERS RESTAURANT, 4270 LAVISTA  ROAD, TUCKER,2.0,15.0,PM,3.0,35.0,PM,2016-10-06,Ameha Getachew,Routine,2,885921,93.0,A,Food_2015,2016-10-06T14:15:00Z,2016-10-06T15:35:00Z,1.3333333333333333
 CHECKERS RESTAURANT, 4270 LAVISTA  ROAD, TUCKER,10.0,25.0,AM,11.0,45.0,AM,2016-03-30,Ashoci Campbell,Routine,2,885921,96.0,A,Food_2015,2016-03-30T10:25:00Z,2016-03-30T11:45:00Z,1.3333333333333333
 CHEESECAKE FACTORY RESTAURANT," 4400 ASHFORD DUNWOODY ROAD, STE. 3005", ATLANTA,11.0,25.0,AM,2.0,5.0,PM,2016-07-19,Amanda Thiel,Routine,2,448322,85.0,B,Food_2015,2016-07-19T11:25:00Z,2016-07-19T14:05:00Z,2.6666666666666665
 CHEF LIU, 5283 BUFORD HIGHWAY, DORAVILLE,1.0,50.0,PM,3.0,50.0,PM,2016-12-01,Liang Chen (3/2/119),Routine,3,886998,83.0,B,Food_2015,2016-12-01T13:50:00Z,2016-12-01T15:50:00Z,2.0
 CHEF LIU, 5283 BUFORD HIGHWAY, DORAVILLE,11.0,20.0,AM,2.0,25.0,PM,2016-09-29,Liang Chen (3/2/19),Routine,3,886998,77.0,C,Food_2015,2016-09-29T11:20:00Z,2016-09-29T14:25:00Z,3.0833333333333335
 CHEF Q'S SOUL SHACK COMMISSARY, 3300 MARJAN DRIVE, ATLANTA,11.0,50.0,AM,2.0,5.0,PM,2016-04-06,Facility has 60 days,Initial,2,888191,100.0,A,Food_2015,2016-04-06T11:50:00Z,2016-04-06T14:05:00Z,2.25
 CHELSEA'S BAKERY & VEGETARIAN," 3423 COVINGTON DRIVE, SUITE F", DECATUR,11.0,50.0,AM,1.0,30.0,PM,2016-08-04,Candace T. George exp 7/11/18,Routine,2,449717,94.0,A,Food_2015,2016-08-04T11:50:00Z,2016-08-04T13:30:00Z,1.6666666666666667
 CHELSEA'S BAKERY & VEGETARIAN," 3423 COVINGTON DRIVE, SUITE F", DECATUR,12.0,20.0,PM,3.0,5.0,PM,2016-02-19,Candace T. George exp 7/11/18,Routine,2,449717,85.0,B,Food_2015,2016-02-19T12:20:00Z,2016-02-19T15:05:00Z,2.75
 CHERRY'S ICE CREAM, 2970 STONECREST PASS, LITHONIA,1.0,45.0,PM,2.0,25.0,PM,2016-06-15,Priska Jean 9/17,Routine,1,887283,92.0,A,Food_2015,2016-06-15T13:45:00Z,2016-06-15T14:25:00Z,0.6666666666666666
 CHESTER CHICKEN, 4794 REDAN ROAD, STONE MOUNTAIN,1.0,30.0,PM,3.0,20.0,PM,2016-06-21,See 1-2B,Followup,2,887476,75.0,C,Food_2015,2016-06-21T13:30:00Z,2016-06-21T15:20:00Z,1.8333333333333333
 CHESTER CHICKEN, 4794 REDAN ROAD, STONE MOUNTAIN,2.0,15.0,PM,5.0,0.0,PM,2016-06-07,See 1-2B,Routine,2,887476,63.0,U,Food_2015,2016-06-07T14:15:00Z,2016-06-07T17:00:00Z,2.75
 CHESTNUT ELEMENTARY SCHOOL, 4576 NORTH PEACHTREE ROAD, DUNWOODY,10.0,55.0,AM,12.0,25.0,PM,2016-11-10,Stacy G. Martin,Routine,2,660033,100.0,A,Food_2015,2016-11-10T10:55:00Z,2016-11-10T12:25:00Z,1.5
 CHESTNUT ELEMENTARY SCHOOL, 4576 NORTH PEACHTREE ROAD, DUNWOODY,9.0,25.0,AM,10.0,40.0,AM,2016-04-27,Stacy G. Martin,Routine,2,660033,90.0,A,Food_2015,2016-04-27T09:25:00Z,2016-04-27T10:40:00Z,1.25
 CHESTNUT ELEMENTARY SCHOOL, 4576 NORTH PEACHTREE ROAD, DUNWOODY,10.0,45.0,AM,1.0,0.0,PM,2015-12-15,Stacy Martin,Routine,1,660033,99.0,A,Food_2015,2015-12-15T10:45:00Z,2015-12-15T13:00:00Z,2.25
 CHICK FIL A @ DORAVILLE, 5700 BUFORD HIGHWAY, DORAVILLE,10.0,30.0,AM,12.0,40.0,PM,2016-08-22,Brian Jones exp 2020,Routine,2,884651,85.0,B,Food_2015,2016-08-22T10:30:00Z,2016-08-22T12:40:00Z,2.1666666666666665
 CHICK-FIL-A, 2340 NORTH DRUID HILLS ROAD, ATLANTA,12.0,0.0,PM,1.0,30.0,PM,2016-11-30,Greg Mapoles,Routine,2,442383,89.0,B,Food_2015,2016-11-30T12:00:00Z,2016-11-30T13:30:00Z,1.5
 CHICK-FIL-A, 105 EAST TRINITY PLACE, DECATUR,8.0,25.0,AM,11.0,45.0,AM,2016-08-08,Jerome Samuel,Routine,2,881372,87.0,B,Food_2015,2016-08-08T08:25:00Z,2016-08-08T11:45:00Z,3.3333333333333335
 CHICK-FIL-A, 3905 NORTH DRUID HILLS ROAD, DECATUR,11.0,0.0,AM,12.0,35.0,PM,2016-10-18,Keith Shelton,Routine,1,881953,92.0,A,Food_2015,2016-10-18T11:00:00Z,2016-10-18T12:35:00Z,1.5833333333333333
 CHICK-FIL-A, 3905 NORTH DRUID HILLS ROAD, DECATUR,8.0,30.0,AM,10.0,40.0,AM,2015-11-16,Keith Shelton,Routine,2,881953,90.0,A,Food_2015,2015-11-16T08:30:00Z,2015-11-16T10:40:00Z,2.1666666666666665
 CHICK-FIL-A, 2480 JETT FERRY ROAD, DUNWOODY,11.0,0.0,AM,1.0,50.0,PM,2016-08-11,Grant Wells exp 7/14/21,Routine,2,886500,88.0,B,Food_2015,2016-08-11T11:00:00Z,2016-08-11T13:50:00Z,2.8333333333333335
 CHICK-FIL-A, 5542 MEMORIAL DRIVE, STONE MOUNTAIN,7.0,25.0,AM,8.0,55.0,AM,2016-11-15,Douglas M. Richardson,Routine,2,886537,97.0,A,Food_2015,2016-11-15T07:25:00Z,2016-11-15T08:55:00Z,1.5
 CHICK-FIL-A, 5542 MEMORIAL DRIVE, STONE MOUNTAIN,11.0,25.0,AM,1.0,35.0,PM,2016-04-14,Douglas M. Richardson,Routine,2,886537,90.0,A,Food_2015,2016-04-14T11:25:00Z,2016-04-14T13:35:00Z,2.1666666666666665
