establishment.name,address,city,time.in.h,time.in.m,time.in.ampm,time.out.h,time.out.m,time.out.ampm,inspection.date,cfsm,purpose.of.inspection,risk.type,permit.number,current.score,current.grade,template_type,date_time_in,date_time_out,inspection_duration
TOTAL WINE & MORE,"UNIT 3 SPLIT, 3944-A PEACHTREE ROAD",ATLANTA,10,55,AM,11,55,PM,2015-10-16,Not Required,Initial,1,887622,98,A,Food,2015-10-16T10:55:00Z,2015-10-16T23:55:00Z,13
TOWERS HIGH SCHOOL,3919 BROOKCREST CIRCLE,DECATUR,8,15,AM,10,15,AM,2015-05-12,Andra McPhail,Routine,2,881548,86,B,Food,2015-05-12T08:15:00Z,2015-05-12T10:15:00Z,2
TOWERS HIGH SCHOOL,3919 BROOKCREST CIRCLE,DECATUR,10,15,AM,12,25,PM,2014-12-12,Andra McPhail,Routine,2,881548,95,A,Food,2014-12-12T10:15:00Z,2014-12-12T12:25:00Z,2.1666666666666665
TOWNE PLACE SUITES BY MARRIOTT,3300 NORTHLAKE PARKWAY,ATLANTA,9,10,AM,10,20,AM,2015-03-03,Dana Perkinson,Routine,1,886633,86,B,Food,2015-03-03T09:10:00Z,2015-03-03T10:20:00Z,1.1666666666666667
TRADITIONS HEALTH & REHABILITATION CENTER,2816 EVANS MILL ROAD,LITHONIA,1,10,PM,2,5,PM,2015-05-26,Victoria Smith 6/2017,Routine,2,440839,93,A,Food,2015-05-26T13:10:00Z,2015-05-26T14:05:00Z,0.9166666666666666
TRADITIONS HEALTH & REHABILITATION CENTER,2816 EVANS MILL ROAD,LITHONIA,11,5,AM,12,5,PM,2014-11-21,Victoria Smith 6/2017,Routine,2,440839,98,A,Food,2014-11-21T11:05:00Z,2014-11-21T12:05:00Z,1
TRAVELLERS,"1737 COLUMBIA DRIVE, SUITE A",DECATUR,12,0,PM,2,0,PM,2015-06-23,Kenny Rowe,Routine,2,883584,90,A,Food,2015-06-23T12:00:00Z,2015-06-23T14:00:00Z,2
TROPICAL CAFE,"4166 BUFORD HIGHWAY, SUITE B-16",ATLANTA,1,0,PM,1,55,PM,2015-08-11,Maria Soriano 6-17-18,Routine,1,886239,91,A,Food,2015-08-11T13:00:00Z,2015-08-11T13:55:00Z,0.9166666666666666
TROPICAL CORNER,"4166 BUFORD HIGHWAY, SUITE Q 1",ATLANTA,12,25,PM,3,0,PM,2015-08-03,Alejandro Soriano,Follow-Up,2,449312,80,B,Food,2015-08-03T12:25:00Z,2015-08-03T15:00:00Z,2.5833333333333335
TROPICAL CORNER,"4166 BUFORD HIGHWAY, SUITE Q 1",ATLANTA,12,30,PM,3,15,PM,2015-06-02,Alejandro Soriano,Routine,2,449312,75,C,Food,2015-06-02T12:30:00Z,2015-06-02T15:15:00Z,2.75
TROPICAL SMOOTHIE CAFE,2566 BRIARCLIFF ROADNE SUITE 106,ATLANTA,2,25,PM,3,35,PM,2015-03-19,Scott Temme,Routine,2,887308,100,A,Food,2015-03-19T14:25:00Z,2015-03-19T15:35:00Z,1.1666666666666667
TUCKER HIGH SCHOOL,5036 LAVISTA ROAD,TUCKER,9,35,AM,10,50,AM,2015-10-28,Andrea W. Champion,Routine,2,885045,95,A,Food,2015-10-28T09:35:00Z,2015-10-28T10:50:00Z,1.25
TUCKER HIGH SCHOOL,5036 LAVISTA ROAD,TUCKER,11,25,AM,1,30,PM,2015-04-24,Andrea Champion,Routine,2,885045,87,B,Food,2015-04-24T11:25:00Z,2015-04-24T13:30:00Z,2.0833333333333335
TUCKER HIGH SCHOOL,5036 LAVISTA ROAD,TUCKER,7,40,AM,9,15,AM,2014-12-09,Andrea Champion,Routine,2,885045,91,A,Food,2014-12-09T07:40:00Z,2014-12-09T09:15:00Z,1.5833333333333333
TUCKER MIDDLE SCHOOL,2160 IDLEWOOD ROAD,TUCKER,8,50,AM,9,55,AM,2015-10-05,Cynthia Maldon,Routine,2,669835,100,A,Food,2015-10-05T08:50:00Z,2015-10-05T09:55:00Z,1.0833333333333333
TUCKER MIDDLE SCHOOL,2160 IDLEWOOD ROAD,TUCKER,7,45,AM,9,30,AM,2015-04-16,Cynthia Maldon,Routine,2,669835,90,A,Food,2015-04-16T07:45:00Z,2015-04-16T09:30:00Z,1.75
TUCKER MIDDLE SCHOOL,2160 IDLEWOOD ROAD,TUCKER,11,5,AM,12,55,PM,2014-12-08,Cynthia Maldon,Routine,2,669835,90,A,Food,2014-12-08T11:05:00Z,2014-12-08T12:55:00Z,1.8333333333333333
U.S. AMERICAN DELI,"3935 LAVISTA ROAD, SUITE B",TUCKER,12,30,PM,2,15,PM,2015-09-22,Expired,Routine,2,882281,96,A,Food,2015-09-22T12:30:00Z,2015-09-22T14:15:00Z,1.75
U.S. AMERICAN DELI,"3935 LAVISTA ROAD, SUITE B",TUCKER,12,40,PM,1,45,PM,2015-01-23,Myung Hee Kwon,Routine,2,882281,92,A,Food,2015-01-23T12:40:00Z,2015-01-23T13:45:00Z,1.0833333333333333
UNCLE MADDIO'S PIZZA JOINT,"3983 LAVISTA ROAD, SUITE 115",TUCKER,12,0,PM,2,15,PM,2015-06-04,6/30/15,Routine,2,886522,82,B,Food,2015-06-04T12:00:00Z,2015-06-04T14:15:00Z,2.25
UNION HILL RESTAURANT,5336 PEACHTREE ROAD,CHAMBLEE,12,5,PM,1,20,PM,2015-06-02,Alexis Hernandez,Routine,2,886508,89,B,Food,2015-06-02T12:05:00Z,2015-06-02T13:20:00Z,1.25
